회사명,지식산업센터명,입지,등록일,공장주소,전화번호,팩스번호,종업원,생산품,업종명,데이터기준일자
삼인데이타시스템(주),대륭테크노타운 6차,개별입지,2014-08-26,"서울특별시 금천구 서부샛길 648, 대륭테크노타운 6차 (가산동)",02-856-0933,02-856-0923,9,"방송영상장비, 출입통제장비",방송장비 제조업 외 4 종,2025-10-31
삼한기술홀딩스(주),대륭테크노타운 6차,개별입지,2020-04-23,"서울특별시 금천구 서부샛길 648, 7층 701-1 (가산동, 대륭테크노타운6)",02-2108-5508,02-2108-5509,5,"영상감시시스템, 차량번호인식시스템",방송장비 제조업 외 1 종,2025-10-31
삼흥프레시젼(주)가산,,개별입지,2011-12-16,서울특별시 금천구 가산로9길 12-9 (가산동),02-864-3041,02-864-3043,8,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조",플라스틱 접착처리 제품 제조업 외 1 종,2025-10-31
새성경(주),대륭테크노타운 5차,개별입지,2003-04-10,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-2107-7117,,20,성경책,일반 서적 출판업,2025-10-31
서울반도체(주),,개별입지,1996-12-30,"서울특별시 금천구 시흥대로153길 59 (가산동, 서울반도체(주))",02-3281-6269,02-862-6261,210,"LED,LAMP",발광 다이오드 제조업 외 1 종,2025-10-31
서울탁주구로연합제조장,,개별입지,2019-03-29,서울특별시 금천구 가산동 150-9번지,02-856-8388,02-856-8858,25,탁주,탁주 및 약주 제조업,2025-10-31
서진,,개별입지,2022-10-07,"서울특별시 금천구 서부샛길 648, 909호(가산동, 대륭테크노타운6차)",02-869-3813,,5,여성의류,여자용 겉옷 제조업,2025-10-31
서진공업사,,개별입지,1979-04-19,서울특별시 금천구 서부샛길 618 (가산동),02-856-5698,02-858-6301,5,프라스틱금형,합성수지 및 기타 플라스틱 물질 제조업,2025-10-31
성우정공사,,개별입지,2007-07-11,서울특별시 금천구 가산로3길 146 (가산동),02-2636-0066,02-2675-0738,35,금형,주형 및 금형 제조업,2025-10-31
성훈완충포장,대륭테크노타운 6차,개별입지,2011-06-10,"서울특별시 금천구 서부샛길 648, 701호 (가산동, 대륭테크노타운6)",02-374-0912,02-374-0915,2,포장자재,직물포대 제조업,2025-10-31
세광하이스,대륭테크노타운 5차,개별입지,2024-04-16,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5) (총 3 필지)",02-852-3411,02-852-3413,5,"전기 이,미용기기",기타 절연선 및 케이블 제조업 외 10 종,2025-10-31
세연아이넷(주),,개별입지,2024-06-18,"서울특별시 금천구 서부샛길 648, 대륭테크노타운 6차 505호(가산동, 대륭테크노타운6차)",02-2634-6100,,5,컴퓨터서버,컴퓨터 제조업,2025-10-31
세왕섬유,,개별입지,2024-06-26,"서울특별시 금천구 두산로9길 83, 4층(가산동, 더신양빌딩)",02-853-5919,,4,원단,면직물 직조업 외 2 종,2025-10-31
센스텍유량계산업,대륭테크노타운 6차,개별입지,2011-05-20,"서울특별시 금천구 서부샛길 648 (가산동, 대륭테크노타운6)",02-837-4846,02-837-6276,4,유량계,속도계 및 적산계기 제조업,2025-10-31
셀파씨엔씨(주),대륭테크노타운 6차,개별입지,2017-06-19,"서울특별시 금천구 서부샛길 648, 13층 1304 (가산동, 대륭테크노타운6)",02-568-3632,02-568-2676,3,"전열교환기, 환기장치",산업용 송풍기 및 배기장치 제조업 외 1 종,2025-10-31
소망전열,대륭테크노타운 5차,개별입지,2008-03-26,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-2107-3396,,2,공업용오븐,"산업용 오븐, 노 및 노용 버너 제조업 외 1 종",2025-10-31
솔리드테크,대륭테크노타운 5차,개별입지,2002-09-16,"서울특별시 금천구 서부샛길 632, 403호 (가산동)",02-2107-7907,02-2107-7909,3,DVR,사무용 기계 및 장비 제조업,2025-10-31
수림기획,,개별입지,2004-04-28,서울특별시 금천구 남부순환로112길 19-9 (가산동),02-853-7471,,30,의류,"근무복, 작업복 및 유사의복 제조업 외 2 종",2025-10-31
슈가무역,대륭테크노타운 5차,개별입지,2015-10-02,"서울특별시 금천구 서부샛길 632, 101동 4층 405-1 (가산동, 대륭테크노타운5)",02-6259-8800,02-6259-8900,2,6142,기타 직물제품 제조업 외 3 종,2025-10-31
스마일인더스트리(주),대륭테크노타운 6차,개별입지,2020-04-21,"서울특별시 금천구 서부샛길 648, 7층 703 (가산동, 대륭테크노타운6)",070-7535-8596,,3,손톱미용도구,그 외 기타 달리 분류되지 않은 제품 제조업,2025-10-31
스탠다드엔지니어링 주식회사,대륭테크노타운 6차,개별입지,2013-07-03,"서울특별시 금천구 서부샛길 648, 3층 301호 (가산동, 대륭테크노타운6)",02-2108-5270,02-2108-5279,13,압력계외,"물질 검사, 측정 및 분석기구 제조업 외 2 종",2025-10-31
시로직,대륭테크노타운 6차,개별입지,2003-11-28,"서울특별시 금천구 서부샛길 648 (가산동, 대륭테크노타운6)",02-858-8405,02-2108-5894,2,ocsu,유선 통신장비 제조업,2025-10-31
시엔스어페럴,,개별입지,2006-02-08,서울특별시 금천구 가산로 89 (가산동),02-855-1671,02-855-1672,5,숙녀복 남성복,편조의복 제조업,2025-10-31
신성소전자,대륭테크노타운 6차,개별입지,2003-10-01,"서울특별시 금천구 서부샛길 648 (가산동, 대륭테크노타운6)",02-2108-5481,02-2108-5485,9,전자부품,그 외 기타 전자부품 제조업 외 1 종,2025-10-31
신성전자,,개별입지,1979-06-30,서울특별시 금천구 가산로9길 12-13 (가산동),02-863-8477,02-863-8784,1,확성기앰프,그 외 기타 전자부품 제조업 외 1 종,2025-10-31
신진기계공업(주),,개별입지,2003-10-07,"서울특별시 금천구 서부샛길 714 (가산동, 한일환경개발(주))",02-864-6613,02-861-6613,6,"공업용세탁기,탈수기,건조기","산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",2025-10-31
신한메카트로닉스 주식회사,,개별입지,2007-01-17,"서울특별시 금천구 가마산로 74 (가산동, 한진빌딩)",02-865-9194,,11,수도미터기,속도계 및 적산계기 제조업 외 1 종,2025-10-31
신형공업사,,개별입지,1980-07-21,"서울특별시 금천구 두산로11길 65 (가산동, 부속)",02-857-3330,02-858-7083,1,프레스납품,날붙이 제조업,2025-10-31
썬더에코주식회사,,개별입지,2022-11-23,"서울특별시 금천구 서부샛길 648, 9층 909 일부호(가산동, 대륭테크노타운6차)",02-6959-2813,,1,공기청정기,기체 여과기 제조업,2025-10-31
쓰리디픽쳐스,대륭테크노타운 7차,개별입지,2019-06-28,"서울특별시 금천구 서부샛길 638, 7층 703-7 (가산동, 대륭테크노타운7)",02-869-5879,02-6455-5877,1,3D포토스캐너,기타 주변기기 제조업,2025-10-31
씨에스엔지니어링,,개별입지,2012-08-10,서울특별시 금천구 가산로9길 12-13 (가산동),02-6407-9105,,6,"필터,정화장치,탱크",조경 건설업,2025-10-31
아주산업(주)구로공장,,개별입지,2007-02-08,"서울특별시 금천구 서부샛길 606 (가산동, 기사대기실)",02-853-3161,02-861-6434,24,"레미콘,모르타르",레미콘 제조업,2025-10-31
에센시아 주식회사,,개별입지,2022-01-20,"서울특별시 금천구 서부샛길 648, 604호(가산동, 대륭테크노타운6차)",02-851-2580,,0,"칫솔살균기, 유야용품살균기, 원적외선온열기 등의 생활위생용품",기타 가정용 전기기기 제조업,2025-10-31
에스엔지아이티주식회사,,개별입지,2025-01-23,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5) (총 3 필지)",02-867-8950,,9,서버컴퓨터,컴퓨터 제조업,2025-10-31
에이원코포레이션,대륭테크노타운 6차,개별입지,2005-06-28,"서울특별시 금천구 서부샛길 648 (가산동, 대륭테크노타운6)",02-2108-5280,,4,"PC, LCD, monitor",컴퓨터 모니터 제조업,2025-10-31
에이치아이이엔에스(주),대성 디큐브폴리스,개별입지,2018-01-03,"서울특별시 금천구 서부샛길 606, A동 11층 1103,1104 (가산동)",02-6919-0266,02-6919-0268,7,"계측기기(압력계,온도계,유량 및 기타 산업용부품)",기기용 자동측정 및 제어장치 제조업,2025-10-31
에이티엠텔레콤(주),대륭테크노타운 5차,개별입지,2002-08-29,"서울특별시 금천구 서부샛길 632, 905호 (가산동)",02-867-8242,02-867-8030,18,"CATV 광장비, CATV 동축장비",유선 통신장비 제조업 외 1 종,2025-10-31
영덕전자(주),대륭테크노타운 5차,개별입지,2003-02-13,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-2107-7861,,12,전자부품,"전자코일, 변성기 및 기타 전자 유도자 제조업",2025-10-31
영진식품,,개별입지,2002-12-20,서울특별시 금천구 가산로5길 19 (가산동),02-867-6161,02-867-6165,17,두부,두부 및 유사식품 제조업,2025-10-31
예성정밀,,개별입지,2009-02-23,서울특별시 금천구 가산로9길 12-5 (가산동),02-839-0381,02-839-0284,16,"자동차속도계,음향기기 및 통신기기,전기용품,기타..",주형 및 금형 제조업,2025-10-31
온세울(주),대륭테크노타운 5차,개별입지,2003-03-12,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-838-6622,02-837-9235,7,발열체 및 그응용제품,그 외 기타 일반목적용 기계 제조업 외 1 종,2025-10-31
우광정밀,,개별입지,2005-10-27,서울특별시 금천구 가산로3길 92 (가산동),02-863-7520,02-863-7510,6,금형,주형 및 금형 제조업,2025-10-31
유니온모형산업사,대륭테크노타운 6차,개별입지,2018-12-21,"서울특별시 금천구 서부샛길 648, 8층 808-1 (가산동, 대륭테크노타운6)",02-3275-1553,02-3275-1554,4,모형 및 전시물,전시용 모형 제조업,2025-10-31
유비휴먼(주),대륭테크노타운 5차,개별입지,2004-01-19,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-2107-7940,,15,FM라디오방송 수신장치,"라디오, 녹음 및 재생 기기 제조업",2025-10-31
유유계기,대륭테크노타운 5차,개별입지,2003-04-17,"서울특별시 금천구 서부샛길 632 (가산동, 대륭테크노타운5)",02-2107-7499,,2,"계기, 자동제어",기기용 자동측정 및 제어장치 제조업,2025-10-31
유진산업,,개별입지,1998-01-01,서울특별시 금천구 시흥대로145길 69 (가산동),02-863-0008,02-851-7696,11,금형,주형 및 금형 제조업,2025-10-31
으뜸시스템,대륭테크노타운 5차,개별입지,2018-07-23,"서울특별시 금천구 서부샛길 632, 3층 305호 (가산동, 대륭테크노타운5)",02-2672-4797,02-2637-0476,2,"명판, 교육용기자재 외",산업처리공정 제어장비 제조업 외 4 종,2025-10-31
이스트원코포레이션(한지와빛),,개별입지,2008-11-14,"서울특별시 금천구 가산로 137, 3층 301호 (가산동)",02-851-8820,,3,한지공예,그 외 기타 종이 및 판지 제품 제조업,2025-10-31
이엠테크,대륭테크노타운 6차,개별입지,2011-09-21,"서울특별시 금천구 서부샛길 648, 대륭테크노타운 6차 1306호 (가산동)",02-2690-3530,,2,교시형 모형제작,전시용 모형 제조업,2025-10-31
인성자동문,대륭테크노타운 7차,개별입지,2005-08-29,"서울특별시 금천구 서부샛길 638, 대륭테크노타운7차 1001호 (가산동)",02-2108-4557,02-2108-4559,5,자동문,기기용 자동측정 및 제어장치 제조업,2025-10-31
일오삼니트,,개별입지,2004-01-29,서울특별시 금천구 가산로3길 84 (가산동),02-861-0153,02-853-0153,12,스웨터편조,편조의복 제조업,2025-10-31
전열테크에이(주),대륭테크노타운 5차,개별입지,2017-02-16,"서울특별시 금천구 서부샛길 632, B2층 B202, B203 (가산동, 대륭테크노타운5)",02-869-7423,02-869-7426,8,공업용 히터,"산업용 오븐, 노 및 노용 버너 제조업 외 1 종",2025-10-31
정광피에스아이(주),,개별입지,2013-01-16,"서울특별시 금천구 서부샛길 724 (가산동, 정광산업)",02-859-2090,,15,포장용프라스틱 성형용기,포장용 플라스틱 성형용기 제조업,2025-10-31
정석전기공업사,,개별입지,1998-04-17,서울특별시 금천구 두산로11길 59 (가산동),02-859-0631,02-859-0634,15,승강기부품,승강기 제조업 외 2 종,2025-10-31
정아식품,,개별입지,1998-11-20,서울특별시 금천구 벚꽃로56길 66 (가산동),02-858-5236,02-855-7948,4,"쌀떡,냉면",떡류 제조업,2025-10-31
정진기획,,개별입지,2001-11-26,서울특별시 금천구 가산로9길 12-18 (가산동),02-856-0041,,12,전자부품,운송장비 조립용 플라스틱제품 제조업 외 1 종,2025-10-31
제이씨웰(JCWell),대륭테크노타운 5차,개별입지,2008-09-22,"서울특별시 금천구 서부샛길 632, 2층 205호 (가산동, 대륭테크노타운5)",02-957-6596,,1,의료기부품,그 외 기타 의료용 기기 제조업 외 3 종,2025-10-31
제일정밀사,,개별입지,2003-05-12,서울특별시 금천구 가산동 536-17번지,02-851-5023,02-869-1385,6,"자동전압조정기,무정전전원장치",기타 전기 변환장치 제조업 외 1 종,2025-10-31
조선도량형기,대륭테크노타운 6차,개별입지,2003-10-24,"서울특별시 금천구 서부샛길 648 (가산동, 대륭테크노타운6)",02-2634-2207,02-2634-9916,0,도령형기부품,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,2025-10-31
주식회사 도래샘,대성 디큐브폴리스,개별입지,2013-08-23,"서울특별시 금천구 서부샛길 606, B동 22층 2209-1 (가산동)",02-572-0621,02-861-8049,3,차수판,육상 금속 골조 구조재 제조업 외 1 종,2025-10-31
주식회사 래퓨,,개별입지,2022-11-03,"서울특별시 금천구 서부샛길 606, A동 B1층 117호(가산동, 대성디폴리스지식산업센터)", ,,3,휴대용 산소캔,의료용품 및 기타 의약 관련제품 제조업,2025-10-31
주식회사 미래케이테크,,개별입지,2009-07-01,"서울특별시 금천구 서부샛길 632, 대륭테크노타운5차 비107 (가산동)",02-2107-7925,02-2107-7927,13,금형부품,주형 및 금형 제조업,2025-10-31
주식회사 보라스카이,대성 디큐브폴리스,개별입지,2018-07-24,"서울특별시 금천구 서부샛길 606, B동 15층 1503호 (가산동)",031-374-8788,031-373-5688,4,무인항공기(드론),무인 항공기 및 무인 비행장치 제조업,2025-10-31
주식회사 삼원팩,대륭테크노타운 5차,개별입지,2019-12-12,"서울특별시 금천구 서부샛길 632, 7층 706 (가산동, 대륭테크노타운5)",02-2107-7260,02-2107-7265,10,포장기계외,"용기 세척, 포장 및 충전기 제조업 외 4 종",2025-10-31
주식회사 서큘러스,대륭테크노타운 6차,개별입지,2022-09-20,"서울특별시 금천구 서부샛길 648, 609호(가산동, 대륭테크노타운6차)",070-7793-0314,,12,파이보,그 외 기타 전기장비 제조업 외 2 종,2025-10-31
주식회사 아이백코리아,,개별입지,2021-07-28,"서울특별시 금천구 서부샛길 618, 4층(가산동)",070-7815-4101,02-8932-747,17,"진공펌프, 진공패드, 진공그리퍼, 진공센서 등",기체 펌프 및 압축기 제조업,2025-10-31
주식회사 아이티스톤,,개별입지,2021-03-11,서울특별시 금천구 서부샛길 606 (가산동) 대성디폴리스지식산업센터 A동 603호,02-597-0770,02-6280-0770,23,"컴퓨터, 컴퓨터 서버",컴퓨터 제조업,2025-10-31
주식회사 에이티비스,대성 디큐브폴리스,개별입지,2021-04-15,"서울특별시 금천구 서부샛길 606, B동 18층 1801호(가산동)",02-6268-4122,02-6268-4127,15,DTV Signal Generator,방송장비 제조업,2025-10-31
주식회사 엔지스웨이,대륭테크노타운 6차,개별입지,2019-11-19,"서울특별시 금천구 서부샛길 648, 14층 1405호 (가산동, 대륭테크노타운6)",02-869-3007,02-869-8772,17,"차번인식기, 무인정산기, 주차차단기, 키오스코, DID",전기경보 및 신호장치 제조업 외 4 종,2025-10-31
